pulse_type
Biodiversity Support
Carbon Sequestration
Cultural Services
Disease Regulation
Ecological Interaction
Environmental Enrichment
Erosion Control
Genetic Diversity Management
Habitat Enhancement
Habitat Provision
Habitat Utilization
Heat Regulation
Herbivory
Intraspecific Interaction
Landscape Health Promotion
Microclimate Regulation
Nutrient Recycling
Organic Matter Cycling
Oxygen Production
Pest Mitigation
Pollination Services
Predation
Predator-Prey Balance
Seed Dispersal
Soil Fertility Enhancement
Spore Dispersal
Structural Biodegradation
Symbiotic Relationships
Water Purification
